model,config,split,accuracy,precision_hallucinated,recall_hallucinated,f1_hallucinated,f1_not_hallucinated,f1_macro
Logistic Regression,"C=0.1, class_weight=None",validation,0.8042,0.795,0.8085,0.8017,0.8066,0.8041
Logistic Regression,"C=0.1, class_weight=None",test,0.7922,0.742,0.8108,0.7749,0.807,0.7909
Logistic Regression,"C=0.1, class_weight=balanced",validation,0.8,0.7884,0.8085,0.7983,0.8017,0.8
Logistic Regression,"C=0.1, class_weight=balanced",test,0.7905,0.7378,0.8147,0.7743,0.8045,0.7894
Logistic Regression,"C=1.0, class_weight=None",validation,0.8063,0.791,0.8213,0.8058,0.8067,0.8062
Logistic Regression,"C=1.0, class_weight=None",test,0.7905,0.7345,0.8224,0.776,0.8032,0.7896
Logistic Regression,"C=1.0, class_weight=balanced",validation,0.8063,0.791,0.8213,0.8058,0.8067,0.8062
Logistic Regression,"C=1.0, class_weight=balanced",test,0.7905,0.7345,0.8224,0.776,0.8032,0.7896
Logistic Regression,"C=10.0, class_weight=None",validation,0.8063,0.791,0.8213,0.8058,0.8067,0.8062
Logistic Regression,"C=10.0, class_weight=None",test,0.7888,0.7336,0.8185,0.7737,0.8019,0.7878
Logistic Regression,"C=10.0, class_weight=balanced",validation,0.8042,0.7878,0.8213,0.8042,0.8042,0.8042
Logistic Regression,"C=10.0, class_weight=balanced",test,0.7905,0.7345,0.8224,0.776,0.8032,0.7896
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=1, class_weight=None",validation,0.8604,0.8621,0.8511,0.8565,0.8641,0.8603
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=1, class_weight=None",test,0.7768,0.7443,0.7529,0.7486,0.7994,0.774
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=1, class_weight=balanced",validation,0.8438,0.8333,0.8511,0.8421,0.8454,0.8437
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=1, class_weight=balanced",test,0.7751,0.7343,0.7683,0.7509,0.795,0.773
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=3, class_weight=None",validation,0.8583,0.8615,0.8468,0.8541,0.8623,0.8582
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=3, class_weight=None",test,0.7819,0.751,0.7568,0.7538,0.8043,0.7791
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=3, class_weight=balanced",validation,0.8438,0.8333,0.8511,0.8421,0.8454,0.8437
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=3, class_weight=balanced",test,0.7785,0.7416,0.7645,0.7529,0.7994,0.7761
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=5, class_weight=None",validation,0.8562,0.8547,0.8511,0.8529,0.8595,0.8562
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=5, class_weight=None",test,0.7819,0.749,0.7606,0.7548,0.8037,0.7792
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=5, class_weight=balanced",validation,0.8438,0.8333,0.8511,0.8421,0.8454,0.8437
Random Forest,"n_estimators=100, max_depth=4, min_samples_leaf=5, class_weight=balanced",test,0.7751,0.7343,0.7683,0.7509,0.795,0.773
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=1, class_weight=None",validation,0.8625,0.8722,0.8426,0.8571,0.8675,0.8623
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=1, class_weight=None",test,0.8041,0.7769,0.7799,0.7784,0.8244,0.8014
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=1, class_weight=balanced",validation,0.8604,0.875,0.834,0.854,0.8663,0.8601
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=1, class_weight=balanced",test,0.8058,0.7757,0.7876,0.7816,0.8252,0.8034
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=3, class_weight=None",validation,0.8583,0.8646,0.8426,0.8534,0.8629,0.8582
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=3, class_weight=None",test,0.7956,0.7704,0.7645,0.7674,0.8176,0.7925
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=3, class_weight=balanced",validation,0.8604,0.8717,0.8383,0.8547,0.8657,0.8602
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=3, class_weight=balanced",test,0.7922,0.7686,0.7568,0.7626,0.8152,0.7889
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=5, class_weight=None",validation,0.8667,0.8734,0.8511,0.8621,0.871,0.8665
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=5, class_weight=None",test,0.7956,0.7683,0.7683,0.7683,0.8171,0.7927
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=5, class_weight=balanced",validation,0.8646,0.8696,0.8511,0.8602,0.8687,0.8645
Random Forest,"n_estimators=100, max_depth=8, min_samples_leaf=5, class_weight=balanced",test,0.8075,0.7829,0.7799,0.7814,0.828,0.8047
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=1, class_weight=None",validation,0.8271,0.8393,0.8,0.8192,0.8343,0.8268
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=1, class_weight=None",test,0.7922,0.7665,0.7606,0.7636,0.8146,0.7891
Random Forest,"n_estimators=100, max_depth=None, min_samples_leaf=1, class_weight=balanced",validation,0.8354,0.8482,0.8085,0.8279,0.8423,0.8351
